name,artist,release_date,popularity,id
Sparks,Coldplay,2000-07-10,86,7D0RhFcb3CrfPuTJ0obrod
Yellow,Coldplay,2000-07-10,90,3AJwUDP919kvQ9QcozQPxg
The Real Slim Shady,Eminem,2000-05-23,87,3yfqSUWxFvZELEM4PmlwIR
Kryptonite,3 Doors Down,2000,81,6ZOBP3NvffbU4SZcrnt1k6
Ms. Jackson,Outkast,2000-10-31,82,0I3q5fE6wg7LIfHGngUTnV
In the End,Linkin Park,2000-10-24,87,60a0Rd6pjrkxjPbaKzXjfq
Change (In the House of Flies),Deftones,2000-05-16,79,51c94ac31swyDQj9B3Lzs3
One Step Closer,Linkin Park,2000-10-24,81,3K4HG9evC7dg3N0R9cYqk4
It's A Great Day To Be Alive,Travis Tritt,2000-10-01,74,3oW6SWwGqiZSPTiAp7ZQoH
Stan,Eminem,2000-05-23,82,3UmaczJpikHgJFyBTAJVoz
Ride Wit Me,Nelly,2000-06-27,77,3Gf5nttwcX9aaSQXRWidEZ
It Wasn't Me,Shaggy,2000-08-08,80,3WkibOpDF7cQ5xntM1epyf
Bye Bye Bye,*NSYNC,2000-03-21,74,62bOmKYxYg7dhrC6gH9vFn
Down with the Sickness,Disturbed,2000-03-07,77,40rvBMQizxkIqnjPdEWY1v
"So Fresh, So Clean",Outkast,2000-10-31,74,6glsMWIMIxQ4BedzLqGVi4
Oops!...I Did It Again,Britney Spears,2000-05-16,80,6naxalmIoLFWR0siv8dnQQ
Crawling,Linkin Park,2000-10-24,78,57BrRMwf9LrcmuOsyGilwr
It's Gonna Be Me,*NSYNC,2000-03-21,72,2AW37v0bDyuOzGP3XnmFuA
Me and the Birds,Duster,2000-08-22,73,4wEuNvb7oG8oZYrZPZ9rPr
Rollin' (Air Raid Vehicle),Limp Bizkit,2000-10-17,78,3IV4swNduIRunHREK80owz
Papercut,Linkin Park,2000-10-24,77,1Vej0qeQ3ioKwpI6FUbRv1
Country Grammar (Hot Shit),Nelly,2000-06-27,70,3wMUvT6eIw2L5cZFG1yH9j
Angel,Shaggy,2000-08-08,77,7FDV5ELOJHCGLe52AnttEd
Hanging By A Moment,Lifehouse,2000,68,0wqOReZDnrefefEsrIGeR4
Red Red Wine,UB40,2000,74,4uOKFydzAejjSFqYbv1XPt
The Way I Am,Eminem,2000-05-23,74,23wfXwnsPZYe5A1xXRHb3J
Dancing in the Moonlight,Toploader,2000,79,3Fzlg5r1IjhLk2qRw667od
Didn't Cha Know,Erykah Badu,2000-10-31,71,7pv80uUHfocFqfTytu1MVi
It's My Life,Bon Jovi,2000-01-01,81,0v1XpBHnsbkCn7iJ9Ucr1l
My Way,Limp Bizkit,2000-10-17,75,2gSVKxPDww9Eep5rdvtdem
El Amor Soñado,Los Tucanes De Tijuana,2000-11-01,74,587p8shYuTXUhThG3t9x60
Follow Me,Uncle Kracker,2000-06-13,72,4KoecuyOpZaNFZ0UqVsllc
Better Off Alone,Alice Deejay,2000-10-01,77,5XVjNRubJUW0iPhhSWpLCj
Beautiful Day,U2,2000-01-01,66,1VuBmEauSZywQVtqbxNqka
Absolutely (Story of a Girl) - Radio Mix,Nine Days,2000-05-16,68,3mNecsYFb6LQg7822DPXCP
Teenage Dirtbag,Wheatus,2000-09-29,71,3LI4MmibTkXH5cGpCGZgyw
Digital Bath,Deftones,2000-05-16,69,2jSJm3Gv6GLxduWLenmjKS
Take A Look Around,Limp Bizkit,2000-10-17,76,2avKuMN2QXkaG9vvHa2JLt
A Place for My Head,Linkin Park,2000-10-24,72,5rAxhWcgFng3s570sGO2F8
Awake,Godsmack,2000-10-31,67,6xXlurslWqFuyqTCBlErzX
Want You Bad,The Offspring,2000-11-14,73,6hwQ69v7VbPhTTR2fOtYX7
I Hope You Dance,Lee Ann Womack,2000-01-01,66,65B1tEOv5W294uCKbmEcFV
Mis Tres Viejas,Los Tucanes De Tijuana,2000-11-12,70,1yxJIFPhP2EqnQ6oWJKbmP
Kill You,Eminem,2000-05-23,70,5eGEc27nnhtmcOh6RC890a
Bitch Please II,Eminem,2000-05-23,73,7lgvU7WnwcNZ8dbGUz8yhP
What's Your Fantasy (Featuring Shawna),Ludacris,2000-01-01,65,4LwOrnuxJwR7C5Sw4liY4Z
I'm Like A Bird,Nelly Furtado,2000,74,2aGw77pZqli064JiPuXYRi
Judith,A Perfect Circle,2000-01-01,67,5KDNFlHAdDJ84fhK27c35X
Hey Jude - Remastered 2015,The Beatles,2000-11-13,72,0aym2LBJBk9DAYuHHutrIl
Secreto De Amor,Joan Sebastian,2000-04-05,73,47PiSg7z5qjUyEGKN4I1g7
The Middle,Jimmy Eat World,2001-07-17,83,6GG73Jik4jUlQCkKg9JuGO
Chop Suey!,System Of A Down,2001-09-04,85,2DlHlPMa4M17kufBvI2lEN
Island In The Sun,Weezer,2001-05-15,80,2MLHyLy5z5l5YRp7momlgw
Last Resort,Papa Roach,2001-04-25,82,5W8YXBz9MTIDyrpYaCg2Ky
Drops of Jupiter (Tell Me),Train,2001-03-27,80,2hKdd3qO7cWr2Jo0Bcs0MA
How You Remind Me,Nickelback,2001-09-11,82,0gmbgwZ8iqyMPmXefof8Yf
Toxicity,System Of A Down,2001-09-04,82,0snQkGI5qnAmohLE7jTsTn
Bodies,Drowning Pool,2001-01-01,77,7CpbhqKUedOIrcvc94p60Y
Aerials,System Of A Down,2001-09-04,79,4e9eGQYsOiBcftrWXwsVco
Clint Eastwood,Gorillaz,2001,71,7yMiX7n9SBvadzox8T5jzT
Me Gustas Tu,Manu Chao,2001-06-01,84,6b37xrsNCWYIUphFBazqD6
In Too Deep,Sum 41,2001-01-01,76,1HNE2PX70ztbEl6MLxrpNL
It's Been Awhile,Staind,2001-05-22,69,25CMmGsl22APKhfuj4Tp7j
Fat Lip,Sum 41,2001-01-01,75,4KacUpvbA3Mfo05gttTjhN
First Date,blink-182,2001,76,1fJFuvU2ldmeAm5nFIHcPP
Someday,The Strokes,2001-07-30,69,7hm4HTk9encxT0LYC0J6oI
New Slang - 2021 Remaster,The Shins,2001-06-19,75,0NslHuacjxQYfUTOW3HCIV
Smooth Criminal,Alien Ant Farm,2001-01-01,76,5z6xHjCZr7a7AIcy8sPBKy
Last Nite,The Strokes,2001-07-30,68,3SUusuA9jH1v6PVwtYMbdv
She Hates Me,Puddle Of Mudd,2001-08-28,72,16DhvbuyvJob4Q9GHNYu2n
Family Affair,Mary J. Blige,2001-08-28,79,3aw9iWUQ3VrPQltgwvN9Xu
One Last Breath,Creed,2001-01-01,74,42T2QQv3xgBlpQxaSP7lnK
Crazy Rap (Colt 45 & 2 Zig Zags),Afroman,2001-08-28,72,1ACZpHI5vZ5Ea4xGlkdGWM
Let Me Blow Ya Mind,Eve,2001-01-01,76,3RmKpob8xzv1pzHEQrMJah
Fell In Love With a Girl,The White Stripes,2001-07-03,73,21Qsj3cMVCx2xF2EVVNbEu
Blurry,Puddle Of Mudd,2001-01-01,67,6lSr3iZTC144PKhvbPFzMp
Wish You Were Here,Incubus,2001-10-23,72,6KtLECDztnah63TNmV4Plw
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,2001-12-04,75,2mKouqwAIdQnMP43zxR89r
Sweetness,Jimmy Eat World,2001-07-17,70,429IbFR4yp2J81CeTwF5iY
Click Click Boom,Saliva,2001-03-27,70,2CGDxXXYbkPOyRXHzQbqkT
One More Time,Daft Punk,2001-03-12,77,0DiWol3AO6WpXZgp0goxAV
Ol' Red,Blake Shelton,2001-07-31,68,5wane5dFpp8xgriui6y0c7
U Got It Bad,USHER,2001-08-07,73,7J41dYQolQJEtj3UmKLu5r
Lady - Hear Me Tonight,Modjo,2001,78,49X0LAl6faAusYq02PRAY6
"Whenever, Wherever",Shakira,2001-11-13,80,2lnzGkdtDj5mtlcOW2yRtG
Can't Get You out of My Head,Kylie Minogue,2001-10-01,78,3E7ZwUMJFqpsDOJzEkBrQ7
Picture (feat. Sheryl Crow),Kid Rock,2001-11-19,69,69j0KoPJuwpnbGWrfn7Yll
Mexican Radio,South Park Mexican,2001-11-06,68,419BgOz6TVQm8vvgiwXq5X
I Can Only Imagine,MercyMe,2001,68,1G5S1rEr4L57ftizRHcYDP
Amber,311,2001-06-19,67,6Fe3Flc9SjE03pqwD6PVQl
Your Body Is a Wonderland,John Mayer,2001-08-16,74,7vFv0yFGMJW3qVXbAd9BK9
Fallin',Alicia Keys,2001-06-05,76,0KQx6HOpJueiSkztcS0r7D
Schism,TOOL,2001-05-15,70,55mJleti2WfWEFNFcBduhc
Wherever You Will Go,The Calling,2001,77,5QpaGzWp0hwB5faV8dkbAz
QKThr,Aphex Twin,2001-10-22,72,4LIM4qmpHABufePRrLWbiM
U Remind Me,USHER,2001-08-07,73,2QsZVnbWVSjKMXK6K3uRBL
Rock The Boat,Aaliyah,2001-07-07,70,0qvlhVNm7L5IWabWF5hlEL
Hash Pipe,Weezer,2001-05-15,69,2mPMFJvQ0v27gVqe5b6nDn
The Rock Show,blink-182,2001,72,2ydUT1pFhuLDnouelIv4WH
Sonne,Rammstein,2001-04-02,70,4w3R0GZ2rScJMKlgPJzHRq
Without Me,Eminem,2002-05-26,88,7lQ8MOhq6IN2w8EYcFNSUk
Till I Collapse,Eminem,2002-05-26,85,4xkOaSrkexMciUUogZKVTS
Rock Your Body,Justin Timberlake,2002-11-04,81,1AWQoqb9bSvzTjaLralEkT
Can't Stop,Red Hot Chili Peppers,2002-07-09,83,3ZOEytgrvLwQaqXreDs2Jx
Superman,Eminem,2002-05-26,86,4woTEX1wYOTGDqNXuavlRC
Hot In Herre,Nelly,2002-06-25,78,04KTF78FFg8sOHC1BADqbY
Get Low,Lil Jon & The East Side Boyz,2002-10-29,76,0r2Bul2NuCViraT2zX1l5j
This Love,Maroon 5,2002,82,6ECp64rv50XVz93WvxXMGF
The Scientist,Coldplay,2002-08-08,85,75JFxkI2RXiU7L9VXzMkle
Headstrong,Trapt,2002-11-05,74,1AEYT6VxrxXPMoQUxsY0E4
Foolish,Ashanti,2002-01-01,75,6zMUIb4uce1CzpbjR3vMdN
The Red,Chevelle,2002,72,1gyee1JuFFiP476LQpRMYU
Complicated,Avril Lavigne,2002-06-04,80,5xEM5hIgJ1jjgcEBfpkt2F
The Anthem,Good Charlotte,2002-10-04,75,0BRHnOFm6sjxN1i9LJrUDu
Sk8er Boi,Avril Lavigne,2002-06-04,77,00Mb3DuaIH1kjrwOku9CGU
Dilemma,Nelly,2002-06-25,79,0ARK753YaiJbpLUk7z5yIM
Clocks,Coldplay,2002-08-08,83,0BCPKOYdS2jbQ8iyB56Zns
Like a Stone,Audioslave,2002-11-17,79,3YuaBvuZqcwN3CEAyyoaei
She Will Be Loved - Radio Mix,Maroon 5,2002,81,4llK75pXNWZz6KAho2Gp16
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,2002-01-01,70,0M7mWKqwTIaVjYyxfZmtTa
Superstition - Single Version,Stevie Wonder,2002-10-29,76,1h2xVEoJORqrg71HocgqXd
Here Without You,3 Doors Down,2002-11-12,77,3NLrRZoMF0Lx6zTlYqeIo4
Sunday Morning,Maroon 5,2002,76,5qII2n90lVdPDcgXEEVHNy
A Thousand Miles,Vanessa Carlton,2002-04-30,78,4w1lzcaoZ1IC2K5TwjalRP
Are You That Somebody,Aaliyah,2002-12-10,71,3PqAnW2bB5TQnMoBivyFOb
Obsesion,Aventura,2002-06-01,77,65H6t1WQBim6q93yM8fEwn
When I'm Gone,3 Doors Down,2002-11-12,71,3WbphvawbMZ8FyqDxYGdSQ
No One Knows,Queens of the Stone Age,2002,69,6NvRxjfYkkT2SpirAlmsjH
Drift Away,Uncle Kracker,2002-07-09,69,0RFgvrhkf9FiDRLA0BhzpZ
Don't Know Why,Norah Jones,2002-02-26,77,1zNXF2svmdlNxfS5XeNUgr
Cry Me a River,Justin Timberlake,2002-11-04,77,7Lf7oSEVdzZqTA0kEDSlS5
Beer For My Horses,Toby Keith,2002-01-01,69,7E2DqvnVtbIrFrL5X6YH9Q
Hurt,Johnny Cash,2002-01-01,74,28cnXtME493VX9NOw9cIUh
Still Waiting,Sum 41,2002-01-01,67,2OMqSRS11ly56zg9u5za6c
About A Girl,Nirvana,2002-10-29,74,55yvzYuvJYG2RUEnMK78tr
All My Life,Foo Fighters,2002-10-22,74,6tsojOQ5wHaIjKqIryLZK6
Sing For The Moment,Eminem,2002-05-26,78,3CpoeW0cZSDzIRv5z34F87
"Swing, Swing",The All-American Rejects,2002-10-15,68,003FTlCpBTM4eSqYSWPv4H
Somebody Like You,Keith Urban,2002-01-01,70,0b9djfiuDIMw1zKH6gV74g
Send the Pain Below,Chevelle,2002,67,6dRAAG4sB71NAtVCHJep7s
Fine Again,Seether,2002-01-01,67,4eTIe5eqds88bA9ua6p5p6
By the Way,Red Hot Chili Peppers,2002-07-09,77,1f2V8U1BiWaC9aJWmpOARe
Still Fly,Big Tymers,2002-01-01,66,563vSy3HB5NHxel1VGQCW6
Cleanin' Out My Closet,Eminem,2002-05-26,74,7BMO7O7ImjV8HNTH74Tshv
All The Things She Said,t.A.T.u.,2002,77,4bJygwUKrRgq1stlNXcgMg
Es Por Ti,Juanes,2002-01-01,80,3b1IQflSLrgzYQPGFzI9cl
Guatauba,Plan B,2002-05-10,76,0xJFWROBNTBL4sKEuA5pm6
Cute Without The 'E' (Cut From The Team) - Remastered,Taking Back Sunday,2002-03-26,67,6OyKBwLzq4h15XmxeWf5n4
Ven Porque Te Necesito,Los Temerarios,2002-01-01,74,4MNfkZ8dtva3cjJ2biqnDS
Show Me How to Live,Audioslave,2002-11-17,71,1Qdnvn4XlmZANCVy3XjrQo
Seven Nation Army,The White Stripes,2003-04-01,85,3dPQuX8Gs42Y7b454ybpMR
Hey Ya!,Outkast,2003,83,2PpruBYCo4H7WOBJ7Q2EwM
In Da Club,50 Cent,2003-02-06,76,4RY96Asd9IefaL3X4LOLZ8
Numb,Linkin Park,2003-03-24,86,2nLtzopw4rPReszdYBJU6h
Bring Me To Life,Evanescence,2003-03-04,84,0COqiPhxzoWICwFCS4eZcp
Crazy In Love (feat. Jay-Z),Beyoncé,2003-06-24,80,5IVuqXILoxVWvWEPm82Jxr
Toxic,Britney Spears,2003-11-13,83,6I9VzXrHxO9rA9A5euc8Ak
Dile,Don Omar,2003-01-01,83,69Ej1xrGjOcHvIMtMKxK0G
21 Questions,50 Cent,2003-02-06,75,41bIQPBE1lFN0mmw6Lmssz
Ocean Avenue,Yellowcard,2003-01-01,75,23oxJmDc1V9uLUSmN2LIvx
I Miss You,blink-182,2003-01-01,72,1oTo3ijRbaDAtrjJrGAPSw
Many Men (Wish Death),50 Cent,2003-02-06,73,2I9foKseoFQh07p6sD2voE
If I Ain't Got You,Alicia Keys,2003-12-02,81,3XVBdLihbNbxUwZosxcGuJ
I Hate Everything About You,Three Days Grace,2003-04-19,76,0M955bMOoilikPXwKLYpoi
The Reason,Hoobastank,2003-12-09,82,77loZpT5Y5PRP1S451P9Yz
Faint,Linkin Park,2003-03-24,81,4Yf5bqU3NK4kNOypcrLYwU
Stacy's Mom,Fountains Of Wayne,2003-01-01,75,27L8sESb3KR79asDUBu8nW
Pa' Que Retozen,Tego Calderón,2003-07-01,82,5YJ4BVvTFmVCxUyhKejHfR
Suga Suga,Baby Bash,2003-01-01,74,6Nq5lE0CeOAAAqN4qhkbZU
What Was I Thinkin',Dierks Bentley,2003-01-01,71,0r8iDf65NHgFgZOGLwj5r8
Reptilia,The Strokes,2003-10-28,77,57Xjny5yNzAcsxnusKmAfA
Closing Time,Semisonic,2003-01-01,74,1A5V1sxyCLpKJezp75tUXn
Are You Gonna Be My Girl,Jet,2003-09-15,77,305WCRhhS10XUcH6AEwZk6
I Stand Alone,Godsmack,2003-04-08,69,44NRdYQw7P0GWuiunRv3hr
P.I.M.P.,50 Cent,2003-02-06,70,2D1hlMwWWXpkc3CZJ5U351
The Way You Move,Outkast,2003,70,5z7mYFfhw6N6f23VwrokJD
Where Is The Love?,Black Eyed Peas,2003-06-24,81,0xmjwnQ3FNE6HuWCt2nHdZ
Somewhere I Belong,Linkin Park,2003-03-24,69,3agtg0x11wPvLIWkYR39nZ
Lying from You,Linkin Park,2003-03-24,67,3BmjRmFTESgWZLPSVGp8aG
Red Dirt Road,Brooks & Dunn,2003-07-15,68,3EZzghqykkfOB0Z8d0kTSt
Someday,Nickelback,2003-09-23,73,4PkJ7c9y1CwpuVOiJODnCZ
Roses,Outkast,2003,72,6bUNEbXT7HovLW6BgPCBsb
Behind Blue Eyes,Limp Bizkit,2003-01-01,77,1MTQHCpraD4S8g5PAFKzoj
Always On Time,Ja Rule,2003-01-01,66,2lXJr5BkUPZpQUV2ZGN1Wv
El Águila Blanca,Los Tucanes De Tijuana,2003-05-20,74,0crJsMs5FmnMHvQG1itkc0
Maps,Yeah Yeah Yeahs,2003-04-29,70,0hDQV9X1Da5JrwhK8gu86p
45,Shinedown,2003-05-27,67,420JGkyLfLUZcgBHKiIK9v
Right Thurr,Chingy,2003-01-01,69,0l3GEbH3CviUytD6iX4wzg
I Hate Everything About You,Three Days Grace,2003-07-22,72,6rUp7v3l8yC4TKxAAR5Bmx
Going Under,Evanescence,2003-03-04,75,3UygY7qW2cvG9Llkay6i1i
Rock Wit U (Awww Baby),Ashanti,2003-01-01,70,6pWzCKTrKrwbUPzY8RLCoP
Kokomo,The Beach Boys,2003-01-01,71,5qHYXcVvc9xsFB2uH7GpMN
So Far Away,Staind,2003-05-13,68,6FOpPA0a80RuBqqgDozvja
Soul to Squeeze,Red Hot Chili Peppers,2003-11-18,70,3arKRnq9OUd7yq6LRwVW8I
Slow Motion,JUVENILE,2003-01-01,66,6ihObRBTB8xdSH2mlERtOX
My Immortal,Evanescence,2003-03-04,75,4UzVcXufOhGUwF56HT7b8M
Feeling This,blink-182,2003-11-01,71,26AYR77170U49cMcXB7aRV
Breaking the Habit,Linkin Park,2003-03-24,67,6n8TMVyFKoUmDc4apxceRD
Suds in the Bucket,Sara Evans,2003-08-17,67,6NhpIdjYoufuNNlBsgOztc
Sway,Michael Bublé,2003,74,2ajUl8lBLAXOXNpG4NEPMz
Mr. Brightside,The Killers,2004,86,003vvx7Niy0yvhvHt4a68B
All Falls Down,Kanye West,2004-02-10,82,5SkRLpaGtvYPhw02vZhQQ9
Yeah! (feat. Lil Jon & Ludacris),USHER,2004-03-23,83,5rb9QrpfcKFHM1EUbSIurX
Mockingbird,Eminem,2004-11-12,88,561jH07mF1jHuk7KlaeF0s
Somewhere Only We Know,Keane,2004-01-01,77,0ll8uFnc0nANY35E0Lfxvg
Rapp Snitch Knishes feat. Mr. Fantastik,MF DOOM,2004-11-16,79,5KUNwkaNf8l5A9sXZhiCgI
Float On,Modest Mouse,2004-04-05,76,2lwwrWVKdf3LR9lbbhnr6R
Somebody Told Me,The Killers,2004,80,6PwjJ58I4t7Mae9xfZ9l9v
American Idiot,Green Day,2004-09-21,82,6nTiIhLmQ3FWhvrGafw2zj
Since U Been Gone,Kelly Clarkson,2004-01-17,74,3xrn9i8zhNZsTtcoWgQEAd
Duality,Slipknot,2004,80,61mWefnWQOLf90gepjOCb3
Gasolina,Daddy Yankee,2004-07-13,85,228BxWXUYQPJrJYHDLOHkj
Take Me Out,Franz Ferdinand,2004-02-16,81,20I8RduZC2PWMWTDCZuuAN
My Boo,USHER,2004-03-23,80,68vgtRHr7iZHpzGpon6Jlo
I'm Not Okay (I Promise),My Chemical Romance,2004-06-08,78,7lRlq939cDG4SzWOF4VAnd
Through The Wire,Kanye West,2004-02-10,76,4mmkhcEm1Ljy1U9nwtsxUo
Save a Horse (Ride a Cowboy),Big & Rich,2004-04-20,73,5s7m2xNZWgz5FqVSIvJcGA
"One, Two Step (feat. Missy Elliott)",Ciara,2004-09-27,75,7uKcScNXuO3MWw6LowBjW1
Helena,My Chemical Romance,2004-06-08,78,5dTHtzHFPyi8TlTtzoz1J9
One Beer,MF DOOM,2004-11-16,75,4BnrGx9tWNF8aiXl1UhDBa
Cold,Crossfade,2004-04-13,71,6ZxrUCaynLgKSUudACOTwj
Unwritten,Natasha Bedingfield,2004-08-30,79,3U5JVgI2x4rDyHGObzJfNf
Hollaback Girl,Gwen Stefani,2004-11-23,71,0LzrhCZFXW94Y8nwtTuRlw
"Lo Que Pasó, Pasó",Daddy Yankee,2004-07-13,81,26QKsGW4hMuwiEE1ftUMHe
Freek-A-Leek,Petey Pablo,2004,70,4MeDnO5yA2Zi6IMlVApRci
Wake Me up When September Ends,Green Day,2004-09-21,80,3ZffCQKLFLUvYM59XKLbVm
Yo Voy (feat. Daddy Yankee),Zion & Lennox,2004-05-04,81,5gflgO9EPbIBf16n5TKnQS
Before I Forget,Slipknot,2004,77,6wqJeItl3Vc3az4ZicSQAB
1985,Bowling For Soup,2004,71,5oQcOu1omDykbIPSdSQQNJ
Drop It Like It's Hot,Snoop Dogg,2004-01-01,77,2NBQmPrOEEjA8VbeWOQGxO
Call Me,Blondie,2004-01-01,71,7HKxTNVlkHsfMLhigmhC0I
Numb / Encore,JAY-Z,2004-11-30,80,5sNESr6pQfIhL3krM8CtZn
Slow Jamz,Twista,2004-02-10,72,3A4cpTBPaIQdtPFb5JxtaX
Live Like You Were Dying,Tim McGraw,2004-08-17,70,7B1QliUMZv7gSTUGAfMRRD
My Band,D12,2004-01-01,74,4XHQyvbrBsQaaBUW1VvmsL
I'll Be Around (feat. Timbaland) - Club Mix,CeeLo Green,2004-03-02,72,2TIGwYiQYr1N5zTOQToDfK
Let Me Love You,Mario,2004-09-21,75,3ibKnFDaa3GhpPGlOUj7ff
Hoe Cakes,MF DOOM,2004-11-16,72,4b82tXj35SycILuILcgBQ6
All These Things That I've Done,The Killers,2004,73,5vollujufHY0jMZxx77VWr
Bless The Broken Road,Rascal Flatts,2004-01-01,70,4YjjNHtEsTX6Af4mCTupT5
In My Room,Insane Clown Posse,2004-08-31,70,7jKHJoOij35nfpq6PYHlFH
Let Me Love You,Mario,2004-12-06,68,5WphWTUIfRe7x8NZss79cY
Scars,Papa Roach,2004-01-01,69,1UREw2MCfU0xwBzCAjxlUD
All Caps,Madvillain,2004-03-24,72,21O0XXPEWPtePt5RMY93Ob
Jesus Walks,Kanye West,2004-02-10,72,5g1vtHqi9uV7xtYeCcFOBx
Overnight Celebrity,Twista,2004-01-27,69,2tOZtdbkAMQASWokLvSlzj
When the Sun Goes Down,Kenny Chesney,2004-01-22,67,5vLonpxn4VN0A8GtQOBSG0
Rosas,La Oreja de Van Gogh,2004-05-10,68,06p2Ij0lXD45LODQDCov0u
Broken,Seether,2004-01-01,71,507bYMYfbm6sUS9iEAaeSd
Confessions Part II,USHER,2004-03-23,71,7wBThXx7BGZHJJ3aN3OPvv
Gold Digger,Kanye West,2005-08-30,81,1PS1QMdUqOal0ai3Gt7sDQ
Before He Cheats,Carrie Underwood,2005-11-14,80,0ZUo4YjG4saFnEJhdWp9Bt
Feel Good Inc.,Gorillaz,2005-05-23,84,0d28khcov6AiegSCpG5TuT
Love,Keyshia Cole,2005-01-01,83,0W4NhJhcqKCqEP2GIpDCDq
"Sugar, We're Goin Down",Fall Out Boy,2005-05-03,79,2TfSHkHiFO4gRztVIkggkE
Hips Don't Lie,Shakira,2005-11-28,86,3ZFTkvIE7kyPt6Nu3PEa7V
Lose Yourself,Eminem,2005-12-06,78,5Z01UMMf7V1o0MzF86s6WJ
I Write Sins Not Tragedies,Panic! At The Disco,2005-09-27,74,4bPQs0PHn4xbipzdPfn6du
"Dance, Dance",Fall Out Boy,2005-05-03,78,0a7BloCiNzLDD9qSQHh5m7
Good Directions,Billy Currington,2005-01-01,74,7GQjJEwqlp6m5HNWVQd6OR
Temperature,Sean Paul,2005-09-26,82,0k2GOhqsrxDTAbFFSdNJjT
Coming Undone,Korn,2005-12-06,77,3o7TMr6RmIusYH7Kkg7ujR
Hate It Or Love It,The Game,2005,83,2wGSgTmgSF3xjRrHkTc25R
Hey There Delilah,Plain White T's,2005-01-01,79,4RCWB3V8V0dignt99LZ8vH
The Kill,Thirty Seconds To Mars,2005-01-01,78,0lP4HYLmvowOKdsQ7CVkuq
How to Save a Life,The Fray,2005-09-13,81,5fVZC9GiM4e8vu99W0Xf6J
Pon de Replay,Rihanna,2005-08-29,80,4TsmezEQVSZNNPv5RJ65Ov
Dirty Little Secret,The All-American Rejects,2005-01-01,72,5lDriBxJd22IhOH9zTcFrV
We Belong Together,Mariah Carey,2005-04-12,72,3LmvfNUQtglbTrydsdIqFU
Better Together,Jack Johnson,2005-01-01,72,4VywXu6umkIQ2OS0m1I79y
Candy Shop,50 Cent,2005-03-03,81,5D2mYZuzcgjpchVY1pmTPh
Animals,Nickelback,2005-09-26,70,3rjM7GhxdVq1YySsHBs21i
Hidden In the Sand,Tally Hall,2005-10-24,76,0RjG5JmdOWXAR68dGlKBA5
Banana Pancakes,Jack Johnson,2005-01-01,71,451GvHwY99NKV4zdKPRWmv
Rockstar,Nickelback,2005-09-26,70,6n9yCXvLhnYMgJIiIcMu7D
Lonely Day,System Of A Down,2005-11-22,78,1VNWaY3uNfoeWqb5U8x2QX
